,Consumption,Temp,FlowTime,Power_Consumption,TimeStamp
0,50,40,3600,2.0416665,2020-01-01T19:40:38
1,50,40,3600,2.0416665,2020-01-01T23:00:43
2,50,60,3600,3.208333,2020-01-02T18:20:07
3,40,60,10800,2.5666666,2020-01-03T06:20:16
4,40,60,10800,2.5666666,2020-01-03T10:50:42
5,40,60,10800,2.5666666,2020-01-03T21:30:25
6,40,60,10800,2.5666666,2020-01-04T20:20:40
7,60,20,7200,1.05,2020-01-05T06:50:11
8,50,60,3600,3.208333,2020-01-05T20:10:14
9,40,60,10800,2.5666666,2020-01-06T23:50:02
10,60,20,7200,1.05,2020-01-07T07:50:01
11,40,60,10800,2.5666666,2020-01-07T14:00:29
12,50,40,3600,2.0416665,2020-01-07T22:20:25
13,50,40,3600,2.0416665,2020-01-08T11:30:20
14,50,40,3600,2.0416665,2020-01-08T17:30:46
15,50,60,3600,3.208333,2020-01-08T19:30:09
16,40,60,10800,2.5666666,2020-01-09T18:10:39
17,60,20,7200,1.05,2020-01-10T03:30:47
18,60,20,7200,1.05,2020-01-10T07:00:33
19,60,20,7200,1.05,2020-01-11T13:50:37
20,50,60,3600,3.208333,2020-01-11T17:30:13
21,50,40,3600,2.0416665,2020-01-11T20:40:13
22,60,20,7200,1.05,2020-01-12T13:20:31
23,60,20,7200,1.05,2020-01-12T15:30:17
24,50,60,3600,3.208333,2020-01-12T18:00:05
25,50,40,3600,2.0416665,2020-01-12T19:20:32
26,50,40,3600,2.0416665,2020-01-13T13:50:03
27,40,60,10800,2.5666666,2020-01-13T16:10:59
28,50,60,3600,3.208333,2020-01-14T06:50:28
29,60,20,7200,1.05,2020-01-14T16:50:38
30,40,60,10800,2.5666666,2020-01-16T07:00:22
31,50,40,3600,2.0416665,2020-01-18T01:10:22
32,40,60,10800,2.5666666,2020-01-18T14:40:33
33,60,20,7200,1.05,2020-01-18T19:00:00
34,60,20,7200,1.05,2020-01-19T00:50:28
35,50,60,3600,3.208333,2020-01-19T08:40:01
36,40,60,10800,2.5666666,2020-01-19T15:00:43
37,50,60,3600,3.208333,2020-01-20T11:20:51
38,50,40,3600,2.0416665,2020-01-21T08:00:38
39,50,40,3600,2.0416665,2020-01-21T22:00:50
40,40,60,10800,2.5666666,2020-01-22T17:00:02
41,50,40,3600,2.0416665,2020-01-22T20:50:26
42,40,60,10800,2.5666666,2020-01-23T12:00:40
43,40,60,10800,2.5666666,2020-01-23T22:10:26
44,50,40,3600,2.0416665,2020-01-25T12:10:44
45,50,60,3600,3.208333,2020-01-26T23:00:56
46,60,20,7200,1.05,2020-01-27T08:50:07
47,50,60,3600,3.208333,2020-01-27T23:30:38
48,50,60,3600,3.208333,2020-01-28T19:00:12
49,50,60,3600,3.208333,2020-01-29T22:50:35
50,60,20,7200,1.05,2020-01-30T23:00:11
51,40,60,10800,2.5666666,2020-01-31T08:50:18
52,60,20,7200,1.05,2020-01-31T18:00:23
53,40,60,10800,2.6133332,2020-02-01T04:20:05
54,50,40,3600,2.1,2020-02-01T13:20:07
55,50,40,3600,2.1,2020-02-02T14:40:43
56,60,20,7200,1.1199999,2020-02-03T12:00:18
57,50,60,3600,3.2666664,2020-02-03T22:00:19
58,50,60,3600,3.2666664,2020-02-04T19:40:21
59,50,60,3600,3.2666664,2020-02-04T21:40:29
60,40,60,10800,2.6133332,2020-02-06T21:20:33
61,60,20,7200,1.1199999,2020-02-07T09:40:39
62,50,60,3600,3.2666664,2020-02-08T16:40:57
63,40,60,10800,2.6133332,2020-02-09T08:30:31
64,50,40,3600,2.1,2020-02-11T08:10:56
65,50,40,3600,2.1,2020-02-11T16:10:36
66,40,60,10800,2.6133332,2020-02-11T20:40:14
67,40,60,10800,2.6133332,2020-02-12T19:30:33
68,60,20,7200,1.1199999,2020-02-13T17:50:33
69,50,40,3600,2.1,2020-02-14T10:40:48
70,50,40,3600,2.1,2020-02-14T15:30:34
71,60,20,7200,1.1199999,2020-02-14T17:10:34
72,40,60,10800,2.6133332,2020-02-15T02:00:44
73,40,60,10800,2.6133332,2020-02-15T05:10:40
74,50,40,3600,2.1,2020-02-15T11:40:23
75,50,40,3600,2.1,2020-02-15T17:30:32
76,40,60,10800,2.6133332,2020-02-16T04:50:36
77,40,60,10800,2.6133332,2020-02-16T16:20:15
78,50,60,3600,3.2666664,2020-02-17T11:00:33
79,50,60,3600,3.2666664,2020-02-17T14:50:53
80,50,60,3600,3.2666664,2020-02-17T16:30:50
81,50,60,3600,3.2666664,2020-02-17T18:00:00
82,50,60,3600,3.2666664,2020-02-18T20:30:21
83,60,20,7200,1.1199999,2020-02-18T21:50:39
84,60,20,7200,1.1199999,2020-02-20T21:40:46
