,Consumption,Temp,FlowTime,Power_Consumption,TimeStamp
0,50,40,3600,2.0416665,2020-01-01T00:20:12
1,50,40,3600,2.0416665,2020-01-01T07:50:35
2,40,60,10800,2.5666666,2020-01-01T20:20:22
3,50,40,3600,2.0416665,2020-01-02T18:20:28
4,50,60,3600,3.208333,2020-01-03T13:30:20
5,40,60,10800,2.5666666,2020-01-04T03:40:06
6,50,40,3600,2.0416665,2020-01-05T13:30:21
7,60,20,7200,1.05,2020-01-05T17:50:05
8,60,20,7200,1.05,2020-01-06T12:30:13
9,50,40,3600,2.0416665,2020-01-06T17:40:34
10,40,60,10800,2.5666666,2020-01-08T07:50:48
11,50,60,3600,3.208333,2020-01-08T15:10:41
12,60,20,7200,1.05,2020-01-09T15:00:45
13,40,60,10800,2.5666666,2020-01-10T06:20:11
14,50,60,3600,3.208333,2020-01-10T19:40:55
15,50,40,3600,2.0416665,2020-01-10T23:20:53
16,60,20,7200,1.05,2020-01-11T17:10:57
17,50,40,3600,2.0416665,2020-01-12T19:30:16
18,50,60,3600,3.208333,2020-01-12T23:30:25
19,60,20,7200,1.05,2020-01-13T19:30:31
20,60,20,7200,1.05,2020-01-14T07:00:41
21,50,40,3600,2.0416665,2020-01-14T15:10:38
22,50,60,3600,3.208333,2020-01-15T19:10:55
23,50,40,3600,2.0416665,2020-01-16T20:50:32
24,50,40,3600,2.0416665,2020-01-17T11:00:58
25,40,60,10800,2.5666666,2020-01-18T07:40:58
26,50,60,3600,3.208333,2020-01-19T15:30:50
27,50,60,3600,3.208333,2020-01-19T19:20:37
28,50,60,3600,3.208333,2020-01-21T09:50:15
29,50,40,3600,2.0416665,2020-01-22T19:50:25
30,50,40,3600,2.0416665,2020-01-24T09:20:44
31,50,60,3600,3.208333,2020-01-24T19:40:33
32,40,60,10800,2.5666666,2020-01-25T08:50:28
33,50,60,3600,3.208333,2020-01-27T10:30:25
34,50,40,3600,2.0416665,2020-01-28T02:30:24
35,40,60,10800,2.5666666,2020-01-28T12:10:21
36,50,40,3600,2.0416665,2020-01-28T20:50:11
37,40,60,10800,2.5666666,2020-01-30T09:00:11
38,60,20,7200,1.05,2020-01-30T18:00:07
39,60,20,7200,1.05,2020-01-31T13:40:23
40,50,40,3600,2.0416665,2020-01-31T20:20:39
41,60,20,7200,1.1199999,2020-02-01T12:50:03
42,40,60,10800,2.6133332,2020-02-02T12:10:10
43,50,60,3600,3.2666664,2020-02-03T14:50:14
44,60,20,7200,1.1199999,2020-02-03T18:10:25
45,50,60,3600,3.2666664,2020-02-04T13:00:17
46,50,40,3600,2.1,2020-02-04T14:50:03
47,40,60,10800,2.6133332,2020-02-06T20:30:35
48,40,60,10800,2.6133332,2020-02-07T23:20:15
49,40,60,10800,2.6133332,2020-02-08T21:30:13
50,40,60,10800,2.6133332,2020-02-10T14:20:00
51,50,40,3600,2.1,2020-02-15T01:40:11
52,60,20,7200,1.1199999,2020-02-15T19:40:51
53,50,40,3600,2.1,2020-02-16T23:10:39
54,50,60,3600,3.2666664,2020-02-17T15:10:33
55,60,20,7200,1.1199999,2020-02-18T23:20:22
56,60,20,7200,1.1199999,2020-02-19T20:40:40
57,40,60,10800,2.6133332,2020-02-20T14:20:36
58,60,20,7200,1.1199999,2020-02-22T10:10:32
59,50,60,3600,3.2666664,2020-02-23T12:40:57
60,40,60,10800,2.6133332,2020-02-23T20:10:47
61,60,20,7200,1.1199999,2020-02-23T23:20:40
62,40,60,10800,2.6133332,2020-02-24T23:30:02
63,40,60,10800,2.6133332,2020-02-25T06:50:34
64,60,20,7200,1.1199999,2020-02-26T22:10:09
65,50,60,3600,3.2666664,2020-02-27T18:10:53
66,50,60,3600,3.2666664,2020-02-28T06:10:03
67,40,60,10800,2.6133332,2020-02-28T20:10:55
68,40,60,10800,2.6133332,2020-02-28T23:30:00
69,60,20,7200,1.1199999,2020-02-29T07:30:45
70,50,40,3600,2.1,2020-02-29T14:40:40
71,50,40,3600,2.1,2020-03-01T04:30:53
72,50,60,3600,3.2666664,2020-03-01T19:50:34
73,50,60,3600,3.2666664,2020-03-02T17:40:36
74,40,60,10800,2.6133332,2020-03-04T16:20:11
75,50,60,3600,3.2666664,2020-03-04T19:30:38
76,60,20,7200,1.1199999,2020-03-05T16:20:22
77,50,40,3600,2.1,2020-03-06T07:50:30
78,50,60,3600,3.2666664,2020-03-06T17:20:03
79,40,60,10800,2.6133332,2020-03-07T11:00:24
80,40,60,10800,2.6133332,2020-03-07T18:50:19
81,60,20,7200,1.1199999,2020-03-08T17:10:26
82,50,40,3600,2.1,2020-03-09T14:50:21
83,40,60,10800,2.6133332,2020-03-09T18:50:46
84,60,20,7200,1.1199999,2020-03-11T22:40:50
85,40,60,10800,2.6133332,2020-03-12T17:00:52
86,40,60,10800,2.6133332,2020-03-12T22:50:25
87,40,60,10800,2.6133332,2020-03-14T04:10:13
88,40,60,10800,2.6133332,2020-03-15T15:50:31
89,50,40,3600,2.1,2020-03-15T22:10:10
90,50,40,3600,2.1,2020-03-16T03:10:44
91,50,60,3600,3.2666664,2020-03-16T22:10:36
92,50,40,3600,2.1,2020-03-17T19:50:10
93,50,60,3600,3.2666664,2020-03-18T13:20:40
94,50,40,3600,2.1,2020-03-18T17:50:17
95,60,20,7200,1.1199999,2020-03-18T19:10:21
96,50,60,3600,3.2666664,2020-03-19T15:00:10
97,50,40,3600,2.1,2020-03-19T19:40:03
98,50,60,3600,3.2666664,2020-03-20T00:30:08
99,60,20,7200,1.1199999,2020-03-20T21:00:08
100,40,60,10800,2.6133332,2020-03-21T14:20:40
101,40,60,10800,2.6133332,2020-03-23T23:00:17
102,50,40,3600,2.1,2020-03-24T10:20:08
103,50,60,3600,3.2666664,2020-03-26T11:10:20
104,60,20,7200,1.1199999,2020-03-26T14:20:11
105,40,60,10800,2.6133332,2020-03-27T18:50:22
106,40,60,10800,2.6133332,2020-03-27T22:30:39
107,50,60,3600,3.2666664,2020-03-28T18:10:20
108,50,40,3600,2.1,2020-03-29T15:20:58
109,50,60,3600,3.2666664,2020-03-31T19:50:34
110,50,40,3600,1.9249998,2020-04-01T20:20:04
111,50,60,3600,3.0916665,2020-04-03T23:00:41
112,50,60,3600,3.0916665,2020-04-04T12:10:50
113,60,20,7200,0.9099999,2020-04-09T08:30:48
114,60,20,7200,0.9099999,2020-04-09T21:10:00
115,50,60,3600,3.0916665,2020-04-12T22:00:09
116,60,20,7200,0.9099999,2020-04-13T18:50:15
117,50,60,3600,3.0916665,2020-04-15T16:50:12
118,60,20,7200,0.9099999,2020-04-16T19:20:16
119,50,60,3600,3.0916665,2020-04-17T18:50:21
120,50,40,3600,1.9249998,2020-04-17T23:20:40
121,60,20,7200,0.9099999,2020-04-19T17:20:53
122,50,40,3600,1.9249998,2020-04-20T21:40:15
123,40,60,10800,2.4733334,2020-04-22T09:00:35
124,50,40,3600,1.9249998,2020-04-23T07:10:14
125,50,60,3600,3.0916665,2020-04-23T14:00:18
126,60,20,7200,0.9099999,2020-04-24T20:40:56
127,40,60,10800,2.4733334,2020-04-24T23:50:13
128,50,60,3600,3.0916665,2020-04-25T16:50:34
129,60,20,7200,0.9099999,2020-04-27T16:50:05
130,60,20,7200,0.9099999,2020-04-30T07:40:12
131,40,60,10800,2.4733334,2020-04-30T18:10:07
132,40,60,10800,2.3333333,2020-05-02T08:50:03
133,60,20,7200,0.6999999,2020-05-02T19:50:57
134,60,20,7200,0.6999999,2020-05-04T16:30:47
135,50,60,3600,2.9166665,2020-05-04T21:40:40
136,50,60,3600,2.9166665,2020-05-05T21:30:19
137,50,60,3600,2.9166665,2020-05-05T23:20:16
138,50,40,3600,1.7499999,2020-05-06T20:30:23
139,50,60,3600,2.9166665,2020-05-08T21:20:15
140,40,60,10800,2.3333333,2020-05-09T06:20:17
141,40,60,10800,2.3333333,2020-05-10T08:20:29
142,50,60,3600,2.9166665,2020-05-11T14:30:56
143,50,40,3600,1.7499999,2020-05-11T19:00:39
144,50,60,3600,2.9166665,2020-05-11T20:50:59
145,60,20,7200,0.6999999,2020-05-12T15:50:42
146,60,20,7200,0.6999999,2020-05-13T13:20:02
147,50,40,3600,1.7499999,2020-05-15T22:10:13
148,50,60,3600,2.9166665,2020-05-16T15:00:44
149,40,60,10800,2.3333333,2020-05-18T08:30:06
150,60,20,7200,0.6999999,2020-05-18T15:30:49
151,40,60,10800,2.3333333,2020-05-19T11:50:08
152,50,40,3600,1.7499999,2020-05-21T09:20:54
153,50,60,3600,2.9166665,2020-05-23T14:10:44
154,50,40,3600,1.7499999,2020-05-24T11:40:36
155,40,60,10800,2.3333333,2020-05-24T21:20:53
156,50,40,3600,1.7499999,2020-05-25T12:50:59
157,40,60,10800,2.3333333,2020-05-27T09:50:30
158,60,20,7200,0.6999999,2020-05-28T19:50:48
159,50,60,3600,2.9166665,2020-05-29T10:10:10
160,50,40,3600,1.6333332,2020-06-02T20:00:43
161,40,60,10800,2.24,2020-06-03T21:50:20
162,60,20,7200,0.55999994,2020-06-04T05:50:01
163,40,60,10800,2.24,2020-06-04T18:00:02
164,50,60,3600,2.7999997,2020-06-06T03:30:41
165,50,40,3600,1.6333332,2020-06-07T20:00:45
166,50,60,3600,2.7999997,2020-06-08T04:10:07
167,50,60,3600,2.7999997,2020-06-08T15:30:43
168,60,20,7200,0.55999994,2020-06-08T21:40:10
169,60,20,7200,0.55999994,2020-06-09T20:50:21
170,60,20,7200,0.55999994,2020-06-10T22:20:43
171,50,40,3600,1.6333332,2020-06-11T17:40:36
172,50,60,3600,2.7999997,2020-06-15T19:00:45
173,40,60,10800,2.24,2020-06-15T23:20:29
174,40,60,10800,2.24,2020-06-19T07:00:47
175,50,60,3600,2.7999997,2020-06-23T16:30:28
176,40,60,10800,2.24,2020-06-24T21:30:40
177,50,40,3600,1.6333332,2020-06-28T06:40:13
178,60,20,7200,0.55999994,2020-06-29T23:30:09
179,50,60,3600,2.7999997,2020-06-30T08:00:41
180,50,60,3600,2.7999997,2020-06-30T14:30:58
181,50,60,3600,2.6249998,2020-07-01T16:50:02
182,40,60,10800,2.1,2020-07-02T20:10:14
183,60,20,7200,0.34999996,2020-07-03T16:10:44
184,50,40,3600,1.4583333,2020-07-04T07:20:21
185,40,60,10800,2.1,2020-07-04T21:10:07
186,60,20,7200,0.34999996,2020-07-05T20:40:33
187,60,20,7200,0.34999996,2020-07-06T02:40:55
188,50,60,3600,2.6249998,2020-07-07T09:40:56
189,50,40,3600,1.4583333,2020-07-08T19:20:45
190,50,60,3600,2.6249998,2020-07-09T04:10:36
191,40,60,10800,2.1,2020-07-09T06:00:20
192,40,60,10800,2.1,2020-07-10T13:20:36
193,50,40,3600,1.4583333,2020-07-12T19:00:55
194,60,20,7200,0.34999996,2020-07-15T12:30:11
195,50,40,3600,1.4583333,2020-07-17T11:40:02
196,50,40,3600,1.4583333,2020-07-18T14:00:56
197,50,60,3600,2.6249998,2020-07-18T15:40:51
198,60,20,7200,0.34999996,2020-07-19T16:30:46
199,50,60,3600,2.6249998,2020-07-19T20:00:29
200,50,60,3600,2.6249998,2020-07-21T09:50:19
201,40,60,10800,2.1,2020-07-23T18:20:49
202,60,20,7200,0.34999996,2020-07-24T17:50:44
203,40,60,10800,2.1,2020-07-25T08:50:25
204,50,40,3600,1.4583333,2020-07-27T02:50:42
205,60,20,7200,0.34999996,2020-07-27T11:10:34
206,50,60,3600,2.6249998,2020-07-27T18:40:16
207,50,40,3600,1.4583333,2020-07-28T15:30:39
208,40,60,10800,2.1,2020-07-28T18:00:52
209,50,60,3600,2.6249998,2020-07-29T16:50:37
210,50,40,3600,1.4583333,2020-07-29T18:30:31
211,60,20,7200,0.34999996,2020-07-31T16:00:17
212,50,60,3600,2.6249998,2020-08-02T19:20:20
213,40,60,10800,2.1,2020-08-04T12:00:04
214,60,20,7200,0.34999996,2020-08-04T16:30:15
215,60,20,7200,0.34999996,2020-08-04T19:10:40
216,40,60,10800,2.1,2020-08-06T05:50:51
217,50,60,3600,2.6249998,2020-08-06T20:50:12
218,60,20,7200,0.34999996,2020-08-07T22:30:55
219,50,60,3600,2.6249998,2020-08-08T15:20:18
220,50,60,3600,2.6249998,2020-08-11T03:20:12
221,50,40,3600,1.4583333,2020-08-11T20:10:21
222,50,40,3600,1.4583333,2020-08-12T12:10:34
223,40,60,10800,2.1,2020-08-12T21:50:03
224,60,20,7200,0.34999996,2020-08-14T19:50:50
225,60,20,7200,0.34999996,2020-08-15T06:20:11
226,40,60,10800,2.1,2020-08-15T15:40:18
227,40,60,10800,2.1,2020-08-15T20:50:26
228,50,40,3600,1.4583333,2020-08-16T23:00:21
229,50,60,3600,2.6249998,2020-08-17T17:40:29
230,50,60,3600,2.6249998,2020-08-18T01:40:51
231,50,40,3600,1.4583333,2020-08-18T14:20:22
