apartment_id,monthyearday,type,consumption,temp,flow_time
1,1020201,Dishwasher,15,60,10800
1,1020201,Hydractiva_shower,41,40.901955,90.832794
1,1020201,Kitchen_optima_faucet,15,53.286076,98.42685
1,1020201,Optima_faucet,10,8.352132,9.595156
1,1020201,Washing_machine,60,60,7200
1,10202010,Dishwasher,15,60,10800
1,10202010,Hydractiva_shower,43,40.72267,68.443985
1,10202010,Kitchen_optima_faucet,9,8.176126,99.64569
1,10202010,Optima_faucet,12,8.60833,97.02084
1,10202011,Hydractiva_shower,47,40.8052,83.86354
1,10202011,Kitchen_optima_faucet,11,8.7775955,99.41029
1,10202011,Optima_faucet,12,43.86828,98.59338
1,10202011,Washing_machine,50,40,3600
1,10202012,Dishwasher,15,60,10800
1,10202012,Kitchen_optima_faucet,11,8.518587,92.301506
1,10202012,Optima_faucet,12,44.53649,98.61886
1,10202012,Washing_machine,40,60,10800
1,10202013,Dishwasher,15,60,10800
1,10202013,Hydractiva_shower,50,40.7733,73.271255
1,10202013,Kitchen_optima_faucet,10,9.485995,85.91752
1,10202013,Optima_faucet,11,42.720913,97.24427
1,10202013,Washing_machine,60,60,7200
1,10202014,Dishwasher,15,60,10800
1,10202014,Hydractiva_shower,47,40.74624,95.092064
1,10202014,Kitchen_optima_faucet,13,9.392585,92.75554
1,10202014,Optima_faucet,11,8.651012,99.55781
1,10202014,Washing_machine,50,60,3600
1,10202015,Dishwasher,15,60,10800
1,10202015,Hydractiva_shower,42,40.291176,69.054596
1,10202015,Kitchen_optima_faucet,14,53.92191,95.67701
1,10202015,Optima_faucet,12,9.835125,94.24606
1,10202015,Washing_machine,50,60,3600
1,10202016,Hydractiva_shower,44,40.001804,249.85738
1,10202016,Kitchen_optima_faucet,11,52.72243,90.20844
1,10202016,Optima_faucet,11,9.827807,98.43224
1,10202016,Washing_machine,60,60,7200
1,10202017,Dishwasher,15,60,10800
1,10202017,Hydractiva_shower,49,40.191586,93.22087
1,10202017,Kitchen_optima_faucet,8,8.141544,97.40726
1,10202017,Optima_faucet,12,9.671341,96.242546
1,10202017,Washing_machine,60,60,7200
1,10202018,Dishwasher,15,60,10800
1,10202018,Hydractiva_shower,8,35.85344,50.855247
1,10202018,Kitchen_optima_faucet,12,8.084832,92.1755
1,10202018,Optima_faucet,12,8.717456,95.86071
1,10202019,Hydractiva_shower,40,39.63149,241.67064
1,10202019,Kitchen_optima_faucet,12,9.243886,96.01398
1,10202019,Optima_faucet,11,9.887251,99.702896
1,10202019,Washing_machine,50,60,3600
1,1020202,Hydractiva_shower,24,39.894234,94.65681
1,1020202,Kitchen_optima_faucet,11,8.62726,95.29701
1,1020202,Optima_faucet,12,9.683343,90.15823
1,1020202,Washing_machine,60,60,7200
1,10202020,Dishwasher,15,60,10800
1,10202020,Hydractiva_shower,51,40.10547,265.29312
1,10202020,Kitchen_optima_faucet,12,9.970053,90.7111
1,10202020,Optima_faucet,12,8.967801,93.54117
1,10202020,Washing_machine,60,20,7200
1,10202021,Dishwasher,15,60,10800
1,10202021,Hydractiva_shower,40,40.039948,197.1438
1,10202021,Kitchen_optima_faucet,14,49.419323,91.89475
1,10202021,Optima_faucet,12,44.298058,94.040855
1,10202021,Washing_machine,60,60,7200
1,10202022,Dishwasher,15,60,10800
1,10202022,Hydractiva_shower,44,39.35424,206.28911
