apartment_id,monthyearday,type,consumption,temp,flow_time
1,1020201,Dishwasher,15,60,10800
1,1020201,Hydractiva_shower,7,37.24916,104.67144
1,1020201,Kitchen_optima_faucet,1,10.262425,100.32314
1,1020201,Optima_faucet,1,11.179666,10.894295
1,1020201,Washing_machine,40,20,10800
1,10202010,Dishwasher,15,60,10800
1,10202010,Hydractiva_shower,8,35.21878,231.12747
1,10202010,Kitchen_optima_faucet,0,12.759022,111.27808
1,10202010,Optima_faucet,1,10.752499,102.58981
1,10202011,Hydractiva_shower,11,36.918926,256.75305
1,10202011,Kitchen_optima_faucet,0,11.30392,102.24587
1,10202011,Optima_faucet,1,10.394508,10.337624
1,10202011,Washing_machine,50,40,3600
1,10202012,Dishwasher,15,60,10800
1,10202012,Kitchen_optima_faucet,0,13.31456,100.334915
1,10202012,Optima_faucet,1,10.477833,102.384445
1,10202012,Washing_machine,40,60,10800
1,10202013,Dishwasher,15,60,10800
1,10202013,Hydractiva_shower,12,36.761444,110.72621
1,10202013,Kitchen_optima_faucet,0,13.190053,102.36495
1,10202013,Optima_faucet,1,12.056883,105.27824
1,10202013,Washing_machine,50,20,3600
1,10202014,Dishwasher,15,60,10800
1,10202014,Hydractiva_shower,17,35.135845,137.29243
1,10202014,Kitchen_optima_faucet,0,11.670261,11.507441
1,10202014,Optima_faucet,1,10.279706,101.12352
1,10202014,Washing_machine,50,60,3600
1,10202015,Dishwasher,15,60,10800
1,10202015,Hydractiva_shower,12,37.807243,122.16555
1,10202015,Kitchen_optima_faucet,0,11.848387,100.954506
1,10202015,Optima_faucet,1,11.089598,101.23431
1,10202015,Washing_machine,50,60,3600
1,10202016,Hydractiva_shower,20,36.55653,111.274315
1,10202016,Kitchen_optima_faucet,0,12.735399,101.619446
1,10202016,Optima_faucet,0,10.264767,10.511169
1,10202016,Washing_machine,40,20,10800
1,10202017,Dishwasher,15,60,10800
1,10202017,Hydractiva_shower,15,36.76049,140.23328
1,10202017,Kitchen_optima_faucet,0,11.546103,10.069726
