apartment_id,monthyearday,type,consumption,temp,flow_time
8,1220202,Dishwasher,1,1,1
9,10202016,Dishwasher,1,1,1
13,7202012,Dishwasher,3,3,3
8,9202025,Dishwasher,1,1,1
2,3202020,Dishwasher,1,1,1
18,10202025,Dishwasher,1,1,1
18,10202024,Dishwasher,1,1,1
18,10202023,Dishwasher,1,1,1
2,4202013,Dishwasher,1,1,1
2,3202022,Dishwasher,1,1,1
17,9202013,Dishwasher,1,1,1
17,9202022,Dishwasher,1,1,1
9,10202010,Dishwasher,1,1,1
17,9202020,Dishwasher,1,1,1
17,920202,Dishwasher,1,1,1
9,10202013,Dishwasher,1,1,1
17,9202015,Dishwasher,1,1,1
9,10202012,Dishwasher,1,1,1
9,10202014,Dishwasher,1,1,1
17,9202010,Dishwasher,1,1,1
17,7202022,Dishwasher,1,1,1
7,7202026,Dishwasher,1,1,1
2,4202014,Dishwasher,1,1,1
9,10202015,Dishwasher,1,1,1
17,9202025,Dishwasher,1,1,1
7,820201,Dishwasher,1,1,1
2,3202031,Dishwasher,1,1,1
17,920209,Dishwasher,1,1,1
18,10202028,Dishwasher,1,1,1
8,920204,Dishwasher,1,1,1
18,10202030,Dishwasher,1,1,1
2,3202023,Dishwasher,1,1,1
17,7202018,Dishwasher,1,1,1
17,7202017,Dishwasher,1,1,1
9,1020204,Dishwasher,1,1,1
2,5202010,Dishwasher,1,1,1
17,7202012,Dishwasher,1,1,1
9,1020205,Dishwasher,1,1,1
7,720206,Dishwasher,1,1,1
16,420201,Dishwasher,1,1,1
2,420203,Dishwasher,1,1,1
9,3202013,Dishwasher,1,1,1
18,10202012,Dishwasher,1,1,1
9,1020203,Dishwasher,1,1,1
7,7202025,Dishwasher,1,1,1
9,10202030,Dishwasher,1,1,1
2,4202015,Dishwasher,1,1,1
18,10202021,Dishwasher,1,1,1
7,8202011,Dishwasher,1,1,1
17,920205,Dishwasher,1,1,1
2,3202026,Dishwasher,1,1,1
2,320205,Dishwasher,1,1,1
18,10202016,Dishwasher,1,1,1
8,9202029,Dishwasher,1,1,1
18,10202015,Dishwasher,1,1,1
2,3202029,Dishwasher,1,1,1
18,10202013,Dishwasher,1,1,1
18,10202022,Dishwasher,1,1,1
2,3202028,Dishwasher,1,1,1
16,4202016,Dishwasher,1,1,1
3,1202021,Dishwasher,1,1,1
3,1202024,Dishwasher,1,1,1
2,420204,Dishwasher,1,1,1
3,1202029,Dishwasher,1,1,1
16,320204,Dishwasher,1,1,1
3,120203,Dishwasher,1,1,1
16,3202031,Dishwasher,1,1,1
16,3202030,Dishwasher,1,1,1
16,320203,Dishwasher,1,1,1
16,3202028,Dishwasher,1,1,1
9,3202017,Dishwasher,1,1,1
7,4202023,Dishwasher,1,1,1
3,120205,Dishwasher,1,1,1
9,3202018,Dishwasher,1,1,1
9,3202015,Dishwasher,1,1,1
16,320207,Dishwasher,1,1,1
16,4202015,Dishwasher,1,1,1
3,1202022,Dishwasher,1,1,1
7,4202026,Dishwasher,1,1,1
17,720204,Dishwasher,1,1,1
2,320204,Dishwasher,1,1,1
9,3202014,Dishwasher,1,1,1
7,8202025,Dishwasher,1,1,1
3,1202027,Dishwasher,1,1,1
3,1120208,Dishwasher,1,1,1
9,3202010,Dishwasher,1,1,1
9,320201,Dishwasher,1,1,1
16,420206,Dishwasher,1,1,1
16,520201,Dishwasher,1,1,1
17,920204,Dishwasher,1,1,1
7,4202027,Dishwasher,1,1,1
17,9202029,Dishwasher,1,1,1
2,320207,Dishwasher,1,1,1
17,9202026,Dishwasher,1,1,1
2,620208,Dishwasher,1,1,1
16,4202022,Dishwasher,1,1,1
7,4202028,Dishwasher,1,1,1
9,3202011,Dishwasher,1,1,1
16,4202025,Dishwasher,1,1,1
8,920208,Dishwasher,1,1,1
7,520209,Dishwasher,1,1,1
2,420208,Dishwasher,1,1,1
3,120202,Dishwasher,1,1,1
16,4202018,Dishwasher,1,1,1
3,1202020,Dishwasher,1,1,1
16,4202017,Dishwasher,1,1,1
3,1202014,Dishwasher,1,1,1
16,4202029,Dishwasher,1,1,1
16,420203,Dishwasher,1,1,1
16,5202017,Dishwasher,1,1,1
3,1120209,Dishwasher,1,1,1
7,420203,Dishwasher,1,1,1
9,220207,Dishwasher,1,1,1
7,4202029,Dishwasher,1,1,1
16,420202,Dishwasher,1,1,1
7,7202024,Dishwasher,1,1,1
17,720208,Dishwasher,1,1,1
2,4202020,Dishwasher,1,1,1
18,11202011,Dishwasher,1,1,1
18,1120201,Dishwasher,1,1,1
9,3202012,Dishwasher,1,1,1
16,320209,Dishwasher,1,1,1
18,1020208,Dishwasher,1,1,1
18,1020207,Dishwasher,1,1,1
18,11202019,Dishwasher,1,1,1
8,9202023,Dishwasher,1,1,1
2,3202017,Dishwasher,1,1,1
18,1020205,Dishwasher,1,1,1
18,1020204,Dishwasher,1,1,1
18,11202024,Dishwasher,1,1,1
2,220207,Dishwasher,1,1,1
2,12202030,Dishwasher,1,1,1
2,220209,Dishwasher,1,1,1
18,12202029,Dishwasher,1,1,1
18,11202016,Dishwasher,1,1,1
2,2202018,Dishwasher,1,1,1
18,12202028,Dishwasher,1,1,1
18,12202031,Dishwasher,1,1,1
18,12202030,Dishwasher,1,1,1
18,1220203,Dishwasher,1,1,1
2,320201,Dishwasher,1,1,1
18,12202020,Dishwasher,1,1,1
2,3202012,Dishwasher,1,1,1
2,2202028,Dishwasher,1,1,1
2,3202016,Dishwasher,1,1,1
2,220205,Dishwasher,1,1,1
18,1120207,Dishwasher,1,1,1
7,8202019,Dishwasher,1,1,1
2,5202027,Dishwasher,1,1,1
17,4202016,Dishwasher,1,1,1
17,620201,Dishwasher,1,1,1
17,520209,Dishwasher,1,1,1
7,620205,Dishwasher,1,1,1
2,6202023,Dishwasher,1,1,1
6,3202015,Dishwasher,1,1,1
2,2202025,Dishwasher,1,1,1
18,1120205,Dishwasher,1,1,1
18,1120204,Dishwasher,1,1,1
7,8202018,Dishwasher,1,1,1
18,1120203,Dishwasher,1,1,1
2,12202031,Dishwasher,1,1,1
8,920202,Dishwasher,1,1,1
16,4202020,Dishwasher,1,1,1
18,11202028,Dishwasher,1,1,1
18,11202026,Dishwasher,1,1,1
2,2202023,Dishwasher,1,1,1
2,2202019,Dishwasher,1,1,1
2,220202,Dishwasher,1,1,1
18,1202015,Dishwasher,1,1,1
2,2202021,Dishwasher,1,1,1
18,1202011,Dishwasher,1,1,1
18,120201,Dishwasher,1,1,1
2,4202023,Dishwasher,1,1,1
18,1120208,Dishwasher,1,1,1
7,7202029,Dishwasher,1,1,1
16,5202018,Dishwasher,1,1,1
8,920201,Dishwasher,1,1,1
18,2202013,Dishwasher,1,1,1
18,120208,Dishwasher,1,1,1
17,8202021,Dishwasher,1,1,1
17,8202020,Dishwasher,1,1,1
2,2202029,Dishwasher,1,1,1
9,10202023,Dishwasher,1,1,1
9,10202024,Dishwasher,1,1,1
2,420202,Dishwasher,1,1,1
18,1220201,Dishwasher,1,1,1
17,8202015,Dishwasher,1,1,1
2,4202021,Dishwasher,1,1,1
7,7202028,Dishwasher,1,1,1
2,4202025,Dishwasher,1,1,1
9,10202025,Dishwasher,1,1,1
17,8202013,Dishwasher,1,1,1
17,8202012,Dishwasher,1,1,1
17,8202011,Dishwasher,1,1,1
17,820201,Dishwasher,1,1,1
8,9202024,Dishwasher,1,1,1
7,720204,Dishwasher,1,1,1
9,10202017,Dishwasher,1,1,1
17,820205,Dishwasher,1,1,1
17,820204,Dishwasher,1,1,1
7,7202031,Dishwasher,1,1,1
17,8202029,Dishwasher,1,1,1
9,10202022,Dishwasher,1,1,1
7,8202017,Dishwasher,1,1,1
18,120209,Dishwasher,1,1,1
17,120203,Dishwasher,1,1,1
2,2202012,Dishwasher,1,1,1
7,8202027,Dishwasher,1,1,1
2,12202025,Dishwasher,1,1,1
2,12202026,Dishwasher,1,1,1
8,820207,Dishwasher,1,1,1
18,1220209,Dishwasher,1,1,1
2,12202027,Dishwasher,1,1,1
8,9202014,Dishwasher,1,1,1
2,1220206,Dishwasher,1,1,1
18,1202023,Dishwasher,1,1,1
2,2202013,Dishwasher,1,1,1
18,1202028,Dishwasher,1,1,1
8,9202013,Dishwasher,1,1,1
18,12202023,Dishwasher,1,1,1
18,1220202,Dishwasher,1,1,1
18,1202024,Dishwasher,1,1,1
18,1202030,Dishwasher,1,1,1
2,2202017,Dishwasher,1,1,1
8,9202015,Dishwasher,1,1,1
2,8202012,Dishwasher,1,1,1
18,12202015,Dishwasher,1,1,1
2,2202011,Dishwasher,1,1,1
8,9202010,Dishwasher,1,1,1
8,9202011,Dishwasher,1,1,1
2,1220207,Dishwasher,1,1,1
18,12202017,Dishwasher,1,1,1
2,1220208,Dishwasher,1,1,1
2,2202015,Dishwasher,1,1,1
2,5202026,Dishwasher,1,1,1
3,11202014,Dishwasher,1,1,1
16,620203,Dishwasher,1,1,1
2,8202010,Dishwasher,1,1,1
17,120206,Dishwasher,1,1,1
2,8202011,Dishwasher,1,1,1
17,120204,Dishwasher,1,1,1
17,1202031,Dishwasher,1,1,1
17,1202030,Dishwasher,1,1,1
7,8202023,Dishwasher,1,1,1
2,220204,Dishwasher,1,1,1
17,1202027,Dishwasher,1,1,1
9,1202023,Dishwasher,1,1,1
2,8202030,Dishwasher,1,1,1
2,8202014,Dishwasher,1,1,1
9,120207,Dishwasher,1,1,1
17,1202024,Dishwasher,1,1,1
17,1202012,Dishwasher,1,1,1
17,11202028,Dishwasher,1,1,1
17,11202027,Dishwasher,1,1,1
17,1202013,Dishwasher,1,1,1
17,11202023,Dishwasher,1,1,1
2,820201,Dishwasher,1,1,1
2,8202031,Dishwasher,1,1,1
17,1120202,Dishwasher,1,1,1
17,11202019,Dishwasher,1,1,1
7,520205,Dishwasher,1,1,1
2,820205,Dishwasher,1,1,1
9,120205,Dishwasher,1,1,1
17,11202021,Dishwasher,1,1,1
3,12202031,Dishwasher,1,1,1
16,1220206,Dishwasher,1,1,1
17,1202020,Dishwasher,1,1,1
2,8202018,Dishwasher,1,1,1
3,1220204,Dishwasher,1,1,1
16,1220205,Dishwasher,1,1,1
9,3202031,Dishwasher,1,1,1
3,12202027,Dishwasher,1,1,1
16,2202024,Dishwasher,1,1,1
3,12202021,Dishwasher,1,1,1
16,2202023,Dishwasher,1,1,1
