type                  apartment_id             
Dishwasher            1               15.000000
                      2               15.000000
                      3               15.000000
                      4               15.000000
                      5               15.000000
                      6               15.000000
                      7               15.000000
                      8               15.000000
                      9               15.000000
                      10              15.000000
                      11              15.000000
                      12              15.000000
                      13              15.000000
                      14              15.000000
                      15              15.000000
                      16              15.000000
                      17              15.000000
                      18              15.000000
                      19              15.000000
                      20              15.000000
Hydractiva_shower     1               29.574302
                      2               30.014773
                      3               30.844519
                      4               30.507353
                      5               30.473860
                      6               30.652597
                      7               29.611821
                      8               30.256329
                      9               30.767797
                      10              30.221591
                      11              29.640141
                      12              30.018119
                      13              30.084337
                      14              30.562925
                      15              30.096055
                      16              30.635025
                      17              30.571554
                      18              30.408163
                      19              30.108974
                      20              30.810526
Kitchen_optima_faucet 1                5.093720
                      2                5.017995
                      3                5.044900
                      4                5.117840
                      5                5.090160
                      6                5.098361
                      7                5.029020
                      8                5.069245
                      9                5.160022
                      10               5.060321
                      11               5.143552
                      12               5.103410
                      13               5.079145
                      14               5.041908
                      15               5.061831
                      16               5.087091
                      17               5.087204
                      18               5.075304
                      19               5.158748
                      20               5.073652
Optima_faucet         1                6.292991
                      2                6.238945
                      3                6.226007
                      4                6.214867
                      5                6.211149
                      6                6.214312
                      7                6.189756
                      8                6.217407
                      9                6.126406
                      10               6.254666
                      11               6.254234
                      12               6.286989
                      13               6.190982
                      14               6.186364
                      15               6.166266
                      16               6.247187
                      17               6.201702
                      18               6.242038
                      19               6.151997
                      20               6.269560
Washing_machine       1               50.191571
                      2               50.228571
                      3               50.270793
                      4               49.381443
                      5               49.566075
                      6               49.847716
                      7               50.428571
                      8               50.027548
                      9               49.387187
                      10              49.920000
                      11              49.770642
                      12              49.424242
                      13              49.866667
                      14              50.000000
                      15              50.457143
                      16              49.972752
                      17              50.000000
                      18              49.683377
                      19              50.459184
                      20              50.348837
