,Consumption,Temp,FlowTime,Power_Consumption,TimeStamp
0,40,60,10800,2.5666666,2020-01-01T18:30:25
1,50,40,3600,2.0416665,2020-01-02T08:50:23
2,60,20,7200,1.05,2020-01-02T19:20:41
3,40,60,10800,2.5666666,2020-01-03T07:20:08
4,40,60,10800,2.5666666,2020-01-03T15:10:31
5,40,60,10800,2.5666666,2020-01-03T21:30:58
6,50,40,3600,2.0416665,2020-01-04T16:40:42
7,50,60,3600,3.208333,2020-01-04T23:00:08
8,60,20,7200,1.05,2020-01-07T07:30:06
9,60,20,7200,1.05,2020-01-07T20:00:06
10,50,40,3600,2.0416665,2020-01-08T14:20:44
11,50,60,3600,3.208333,2020-01-08T20:20:15
12,60,20,7200,1.05,2020-01-09T09:10:49
13,60,20,7200,1.05,2020-01-09T12:50:28
14,50,60,3600,3.208333,2020-01-09T19:40:38
15,40,60,10800,2.5666666,2020-01-10T13:20:10
16,40,60,10800,2.5666666,2020-01-10T18:00:53
17,60,20,7200,1.05,2020-01-11T06:10:04
18,40,60,10800,2.5666666,2020-01-11T19:20:30
19,50,40,3600,2.0416665,2020-01-12T21:30:36
20,50,60,3600,3.208333,2020-01-13T10:50:49
21,50,40,3600,2.0416665,2020-01-13T22:30:11
22,60,20,7200,1.05,2020-01-14T16:30:59
23,60,20,7200,1.05,2020-01-15T13:50:38
24,60,20,7200,1.05,2020-01-15T18:50:35
25,50,60,3600,3.208333,2020-01-16T21:00:47
26,60,20,7200,1.05,2020-01-17T16:30:26
27,60,20,7200,1.05,2020-01-18T21:50:44
28,50,60,3600,3.208333,2020-01-19T08:30:56
29,50,40,3600,2.0416665,2020-01-19T14:40:19
30,40,60,10800,2.5666666,2020-01-19T21:00:48
31,50,60,3600,3.208333,2020-01-20T09:20:57
32,40,60,10800,2.5666666,2020-01-20T22:50:35
33,60,20,7200,1.05,2020-01-21T12:40:44
34,40,60,10800,2.5666666,2020-01-21T16:50:48
35,50,40,3600,2.0416665,2020-01-21T20:40:59
36,50,60,3600,3.208333,2020-01-22T13:50:56
37,40,60,10800,2.5666666,2020-01-22T15:00:39
38,50,40,3600,2.0416665,2020-01-22T20:10:21
39,50,40,3600,2.0416665,2020-01-23T09:30:39
40,50,40,3600,2.0416665,2020-01-23T18:50:46
41,50,40,3600,2.0416665,2020-01-23T22:50:34
42,60,20,7200,1.05,2020-01-24T00:30:40
43,50,40,3600,2.0416665,2020-01-25T02:50:45
44,50,40,3600,2.0416665,2020-01-26T16:40:06
45,60,20,7200,1.05,2020-01-26T20:30:08
46,50,40,3600,2.0416665,2020-01-27T02:10:53
47,60,20,7200,1.05,2020-01-27T09:20:55
48,50,60,3600,3.208333,2020-01-27T15:20:52
49,50,60,3600,3.208333,2020-01-27T22:20:53
50,60,20,7200,1.05,2020-01-28T01:40:35
51,60,20,7200,1.05,2020-01-28T05:00:41
52,60,20,7200,1.05,2020-01-28T16:00:21
53,50,40,3600,2.0416665,2020-01-28T20:00:41
54,50,60,3600,3.208333,2020-01-28T23:00:48
55,50,60,3600,3.208333,2020-01-30T15:20:28
56,50,40,3600,2.0416665,2020-01-30T21:30:59
57,40,60,10800,2.6133332,2020-02-01T12:00:53
58,40,60,10800,2.6133332,2020-02-01T20:10:48
59,50,60,3600,3.2666664,2020-02-02T20:50:01
60,50,40,3600,2.1,2020-02-04T11:20:13
61,50,60,3600,3.2666664,2020-02-04T14:00:04
62,50,60,3600,3.2666664,2020-02-04T19:50:55
63,50,40,3600,2.1,2020-02-05T06:30:22
64,50,40,3600,2.1,2020-02-05T19:40:26
65,50,40,3600,2.1,2020-02-06T19:40:07
