,Consumption,Temp,FlowTime,Power_Consumption,TimeStamp
0,50,40,3600,2.0416665,2020-01-01T16:00:35
1,50,60,3600,3.208333,2020-01-03T14:40:14
2,60,20,7200,1.05,2020-01-03T21:20:35
3,50,60,3600,3.208333,2020-01-04T18:10:54
4,50,40,3600,2.0416665,2020-01-04T19:50:59
5,50,60,3600,3.208333,2020-01-05T21:30:39
6,60,20,7200,1.05,2020-01-05T23:00:33
7,60,20,7200,1.05,2020-01-06T01:20:47
8,50,60,3600,3.208333,2020-01-06T13:10:28
9,50,60,3600,3.208333,2020-01-06T14:50:07
10,50,40,3600,2.0416665,2020-01-06T18:00:18
11,50,60,3600,3.208333,2020-01-06T20:20:50
12,40,60,10800,2.5666666,2020-01-07T18:30:10
13,50,60,3600,3.208333,2020-01-08T10:10:40
14,50,40,3600,2.0416665,2020-01-09T13:20:53
15,50,40,3600,2.0416665,2020-01-09T18:50:46
16,40,60,10800,2.5666666,2020-01-11T06:50:20
17,60,20,7200,1.05,2020-01-11T13:30:11
18,50,60,3600,3.208333,2020-01-12T06:20:11
19,50,60,3600,3.208333,2020-01-12T10:00:50
20,50,60,3600,3.208333,2020-01-12T21:00:43
21,50,60,3600,3.208333,2020-01-13T15:40:22
22,50,40,3600,2.0416665,2020-01-13T23:40:31
23,60,20,7200,1.05,2020-01-15T13:10:01
24,50,40,3600,2.0416665,2020-01-15T17:30:51
25,40,60,10800,2.5666666,2020-01-15T23:20:40
26,50,40,3600,2.0416665,2020-01-16T15:30:46
27,50,40,3600,2.0416665,2020-01-16T20:20:49
28,40,60,10800,2.5666666,2020-01-16T23:10:52
29,40,60,10800,2.5666666,2020-01-17T14:10:31
30,50,60,3600,3.208333,2020-01-18T22:40:05
31,50,40,3600,2.0416665,2020-01-19T08:10:28
32,50,40,3600,2.0416665,2020-01-21T21:30:10
33,40,60,10800,2.5666666,2020-01-22T18:50:24
34,60,20,7200,1.05,2020-01-24T02:20:35
35,60,20,7200,1.05,2020-01-24T15:30:41
36,60,20,7200,1.05,2020-01-24T17:50:54
37,50,40,3600,2.0416665,2020-01-24T20:40:52
38,50,40,3600,2.0416665,2020-01-26T11:10:57
39,40,60,10800,2.5666666,2020-01-26T21:20:36
40,40,60,10800,2.5666666,2020-01-27T16:20:51
41,50,40,3600,2.0416665,2020-01-29T20:20:51
42,50,60,3600,3.208333,2020-01-30T13:30:32
43,50,40,3600,2.0416665,2020-01-31T11:10:15
44,40,60,10800,2.5666666,2020-01-31T20:10:08
45,40,60,10800,2.6133332,2020-02-01T09:40:28
46,50,60,3600,3.2666664,2020-02-02T16:00:02
47,40,60,10800,2.6133332,2020-02-03T18:10:44
48,50,60,3600,3.2666664,2020-02-03T21:30:08
49,60,20,7200,1.1199999,2020-02-03T23:20:33
50,50,60,3600,3.2666664,2020-02-04T15:00:46
51,40,60,10800,2.6133332,2020-02-04T21:20:39
52,50,40,3600,2.1,2020-02-06T15:40:28
53,50,40,3600,2.1,2020-02-06T20:10:08
54,50,40,3600,2.1,2020-02-07T18:00:23
55,50,40,3600,2.1,2020-02-09T00:30:48
56,60,20,7200,1.1199999,2020-02-09T23:40:29
57,50,40,3600,2.1,2020-02-10T20:10:06
58,50,40,3600,2.1,2020-02-10T22:50:30
59,50,60,3600,3.2666664,2020-02-12T07:50:27
60,40,60,10800,2.6133332,2020-02-12T15:20:45
61,60,20,7200,1.1199999,2020-02-13T20:10:20
62,50,60,3600,3.2666664,2020-02-14T06:10:05
63,40,60,10800,2.6133332,2020-02-14T18:30:02
64,60,20,7200,1.1199999,2020-02-15T01:10:09
65,40,60,10800,2.6133332,2020-02-15T15:20:35
66,60,20,7200,1.1199999,2020-02-15T23:50:19
67,50,60,3600,3.2666664,2020-02-16T19:10:47
68,40,60,10800,2.6133332,2020-02-17T07:10:56
69,50,60,3600,3.2666664,2020-02-18T09:50:56
70,50,60,3600,3.2666664,2020-02-18T17:50:18
71,50,60,3600,3.2666664,2020-02-19T03:00:57
72,50,40,3600,2.1,2020-02-20T19:20:16
73,60,20,7200,1.1199999,2020-02-21T17:10:10
74,50,40,3600,2.1,2020-02-22T07:00:33
75,50,60,3600,3.2666664,2020-02-22T11:30:38
76,50,40,3600,2.1,2020-02-22T20:00:37
77,50,40,3600,2.1,2020-02-23T16:20:39
78,50,40,3600,2.1,2020-02-24T00:50:55
79,50,40,3600,2.1,2020-02-24T08:00:51
80,40,60,10800,2.6133332,2020-02-24T16:50:19
81,50,40,3600,2.1,2020-02-25T10:30:02
82,40,60,10800,2.6133332,2020-02-25T17:40:44
83,40,60,10800,2.6133332,2020-02-27T19:40:21
84,40,60,10800,2.6133332,2020-02-29T16:10:53
85,50,40,3600,2.1,2020-02-29T23:20:05
86,50,60,3600,3.2666664,2020-03-01T19:51:56
87,40,60,10800,2.6133332,2020-03-02T19:21:35
88,40,60,10800,2.6133332,2020-03-02T23:11:48
89,50,60,3600,3.2666664,2020-03-03T20:31:42
90,50,40,3600,2.1,2020-03-04T14:21:18
91,60,20,7200,1.1199999,2020-03-04T19:21:02
92,50,60,3600,3.2666664,2020-03-05T14:01:06
93,50,40,3600,2.1,2020-03-06T16:11:58
94,40,60,10800,2.6133332,2020-03-06T23:01:11
95,40,60,10800,2.6133332,2020-03-07T09:41:38
96,60,20,7200,1.1199999,2020-03-08T07:11:19
97,50,40,3600,2.1,2020-03-08T14:41:18
98,50,60,3600,3.2666664,2020-03-08T17:01:29
99,50,60,3600,3.2666664,2020-03-08T18:51:13
100,60,20,7200,1.1199999,2020-03-09T21:21:29
101,50,40,3600,2.1,2020-03-10T05:01:19
102,40,60,10800,2.6133332,2020-03-10T12:31:21
103,60,20,7200,1.1199999,2020-03-11T15:11:32
104,40,60,10800,2.6133332,2020-03-13T07:11:28
105,40,60,10800,2.6133332,2020-03-13T15:51:30
106,50,60,3600,3.2666664,2020-03-18T18:31:31
107,50,40,3600,2.1,2020-03-19T18:01:47
108,50,60,3600,3.2666664,2020-03-20T17:21:54
109,60,20,7200,1.1199999,2020-03-21T09:51:47
110,60,20,7200,1.1199999,2020-03-22T15:41:57
111,50,40,3600,2.1,2020-03-23T14:21:13
112,60,20,7200,1.1199999,2020-03-23T20:41:52
113,40,60,10800,2.6133332,2020-03-24T21:01:50
114,50,60,3600,3.2666664,2020-03-26T16:51:06
115,50,40,3600,2.1,2020-03-26T20:11:21
116,50,60,3600,3.2666664,2020-03-27T18:31:56
117,50,60,3600,3.2666664,2020-03-27T20:41:33
118,60,20,7200,1.1199999,2020-03-28T15:21:51
119,50,60,3600,3.2666664,2020-03-29T03:41:39
120,40,60,10800,2.6133332,2020-03-29T11:51:07
121,60,20,7200,1.1199999,2020-03-29T19:51:52
122,50,40,3600,1.9249998,2020-04-01T00:31:32
123,40,60,10800,2.4733334,2020-04-01T08:51:45
124,50,40,3600,1.9249998,2020-04-02T19:01:52
125,50,60,3600,3.0916665,2020-04-03T01:31:29
126,60,20,7200,0.9099999,2020-04-04T03:41:28
127,40,60,10800,2.4733334,2020-04-04T09:41:44
128,50,40,3600,1.9249998,2020-04-04T15:21:40
129,50,60,3600,3.0916665,2020-04-04T17:11:34
130,40,60,10800,2.4733334,2020-04-05T16:01:19
131,50,60,3600,3.0916665,2020-04-06T07:31:13
132,50,40,3600,1.9249998,2020-04-06T15:01:17
133,60,20,7200,0.9099999,2020-04-06T19:01:07
134,60,20,7200,0.9099999,2020-04-08T07:21:22
135,50,40,3600,1.9249998,2020-04-08T19:21:21
136,50,60,3600,3.0916665,2020-04-08T21:41:22
137,40,60,10800,2.4733334,2020-04-08T23:11:12
138,50,40,3600,1.9249998,2020-04-09T18:11:13
139,60,20,7200,0.9099999,2020-04-09T21:11:54
140,50,40,3600,1.9249998,2020-04-13T06:31:51
141,40,60,10800,2.4733334,2020-04-13T08:31:33
142,40,60,10800,2.4733334,2020-04-13T20:31:12
143,60,20,7200,0.9099999,2020-04-14T19:11:07
144,40,60,10800,2.4733334,2020-04-15T15:11:12
145,50,40,3600,1.9249998,2020-04-16T22:21:24
146,40,60,10800,2.4733334,2020-04-17T12:41:20
147,60,20,7200,0.9099999,2020-04-18T07:41:01
148,40,60,10800,2.4733334,2020-04-18T17:31:18
149,60,20,7200,0.9099999,2020-04-19T20:21:59
150,50,40,3600,1.9249998,2020-04-20T18:21:34
151,40,60,10800,2.4733334,2020-04-21T15:31:03
152,50,40,3600,1.9249998,2020-04-23T07:51:11
153,60,20,7200,0.9099999,2020-04-23T13:11:37
154,60,20,7200,0.9099999,2020-04-25T02:51:35
155,50,60,3600,3.0916665,2020-04-25T08:01:03
156,50,40,3600,1.9249998,2020-04-26T11:11:36
157,60,20,7200,0.9099999,2020-04-26T14:51:03
158,60,20,7200,0.9099999,2020-04-27T16:01:55
159,50,40,3600,1.9249998,2020-04-27T19:11:42
160,40,60,10800,2.4733334,2020-04-27T23:51:41
161,60,20,7200,0.9099999,2020-04-28T12:41:00
162,50,60,3600,3.0916665,2020-04-28T18:31:37
163,50,40,3600,1.9249998,2020-04-28T21:01:20
164,50,40,3600,1.9249998,2020-04-29T09:51:34
165,50,60,3600,3.0916665,2020-04-29T13:01:35
