,Consumption,Temp,FlowTime,Power_Consumption,TimeStamp
0,6.364213,40.835556,30.682901,0.26607594,2020-01-01T09:50:02
1,50.631294,36.68965,266.19882,1.8719027,2020-01-04T13:20:44
2,41.74923,40.24464,216.3798,1.7166759,2020-01-04T19:34:19
3,45.91073,39.970722,251.16093,1.8731198,2020-01-05T01:47:34
4,11.469928,38.884766,61.75939,0.45343176,2020-01-05T03:51:22
5,9.4799795,39.70553,49.132336,0.38384226,2020-01-05T20:22:53
6,44.832905,35.645115,255.56842,1.6028943,2020-01-05T23:42:59
7,50.749565,35.998898,286.21237,1.8353772,2020-01-06T10:36:53
8,16.519402,38.934673,93.22901,0.65401053,2020-01-08T07:10:36
9,5.4683867,40.72492,30.934536,0.22791725,2020-01-08T10:11:06
10,11.081529,39.386505,65.07367,0.44456422,2020-01-09T12:11:26
11,51.45794,37.53747,259.08398,1.9533631,2020-01-09T20:32:10
12,50.727673,39.173122,282.23486,2.0224433,2020-01-09T21:06:51
13,32.46737,36.215626,210.60184,1.1824042,2020-01-10T00:50:57
14,7.4321465,40.30773,38.702072,0.3061476,2020-01-10T12:13:35
15,38.002464,37.94448,208.73387,1.4606333,2020-01-10T18:13:34
16,8.472306,37.653877,43.025238,0.32276255,2020-01-10T22:36:02
17,20.477413,37.114708,135.37782,0.7672305,2020-01-12T03:56:32
18,28.710539,35.120003,153.73962,1.0088884,2020-01-13T11:08:26
19,41.702114,40.748493,209.70738,1.7392522,2020-01-13T15:20:05
20,22.502645,37.57674,139.3789,0.8552399,2020-01-13T16:33:50
21,36.752563,38.69648,203.41727,1.4448373,2020-01-13T20:25:32
22,16.226458,35.936153,92.552414,0.5856481,2020-01-14T16:08:28
23,11.597597,35.786034,58.4213,0.41655135,2020-01-14T23:39:09
24,43.407814,40.330757,205.5607,1.789236,2020-01-15T09:49:01
25,17.231752,39.30508,92.53114,0.6896594,2020-01-15T10:02:02
26,37.93547,38.2266,212.95227,1.4705445,2020-01-15T15:23:02
27,34.97901,35.86941,203.67168,1.259745,2020-01-16T19:46:59
28,46.19621,37.032993,242.21898,1.7264365,2020-01-16T21:09:23
29,35.964275,40.270638,177.01204,1.4798968,2020-01-17T20:03:13
30,10.526442,39.15526,64.582855,0.41945553,2020-01-17T21:15:19
